Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3553005;Interior;Taguaí;2419;38;;;
3553104;Interior;Taiaçu;371;11;;;
3553203;Interior;Taiúva;873;12;;;
3553302;Interior;Tambaú;2259;43;;;
3553401;Interior;Tanabi;4326;98;;;
3553500;Interior;Tapiraí;830;9;;;
3553609;Interior;Tapiratiba;1597;28;;;
3553658;Interior;Taquaral;354;10;;;
3553708;Interior;Taquaritinga;6211;184;;;
3553807;Interior;Taquarituba;3613;96;;;
3553856;Interior;Taquarivaí;483;15;;;
3553906;Interior;Tarabai;808;26;;;
3553955;Interior;Tarumã;1667;44;;;
3554003;Interior;Tatuí;7361;433;;;
3554102;Interior;Taubaté;26761;744;;;
3554201;Interior;Tejupá;141;9;;;
3554300;Interior;Teodoro Sampaio;2843;49;;;
3554409;Interior;Terra Roxa;1005;29;;;
3554508;Interior;Tietê;4128;101;;;
3554607;Interior;Timburi;147;6;;;
3554656;Interior;Torre de Pedra;153;10;;;
3554706;Interior;Torrinha;1439;20;;;
3554755;Interior;Trabiju;201;2;;;
3554805;Interior;Tremembé;2567;38;;;
3554904;Interior;Três Fronteiras;796;28;;;
3554953;Interior;Tuiuti;185;2;;;
3555000;Interior;Tupã;6725;250;;;
3555109;Interior;Tupi Paulista;1555;42;;;
3555208;Interior;Turiúba;177;4;;;
3555307;Interior;Turmalina;179;4;;;
3555356;Interior;Ubarana;1032;18;;;
3555406;Interior;Ubatuba;6422;122;;;
3555505;Interior;Ubirajara;537;8;;;
3555604;Interior;Uchoa;1402;29;;;
3555703;Interior;União Paulista;219;5;;;
3555802;Interior;Urânia;1267;36;;;
3555901;Interior;Uru;166;5;;;
3556008;Interior;Urupês;831;40;;;
3556107;Interior;Valentim Gentil;2062;62;;;
3556206;Interior;Valinhos;13193;365;;;
3556305;Interior;Valparaíso;2944;75;;;
3556354;Interior;Vargem;185;7;;;
3556404;Interior;Vargem Grande do Sul;2843;74;;;
3556453;RMSP (exceto capital);Vargem Grande Paulista;2443;102;;;
3556503;Interior;Várzea Paulista;7658;229;;;
3556602;Interior;Vera Cruz;639;36;;;
3556701;Interior;Vinhedo;9498;176;;;
3556800;Interior;Viradouro;1814;83;;;
3556909;Interior;Vista Alegre do Alto;1036;14;;;
3556958;Interior;Vitória Brasil;227;9;;;
3557006;Interior;Votorantim;10543;466;;;
3557105;Interior;Votuporanga;13847;423;;;
3557154;Interior;Zacarias;246;10;;;
3557204;Interior;Chavantes;1000;37;;;
3557303;Interior;Estiva Gerbi;765;33;;;
;;Ignorado;970;0;;;
;;;;;;;
;;;;;;;
